('npm:@tootallnate/quickjs-emscripten', '0.23.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-runtime', '7.23.9')
('rubygems:actionpack', '7.1.3.4')
('npm:@types/istanbul-reports', '3.0.4')
('npm:es-shim-unscopables', '1.0.2')
('npm:css-has-pseudo', '0.10.0')
('npm:escape-string-regexp', '2.0.0')
('npm:@babel/plugin-transform-arrow-functions', '7.23.3')
('npm:postcss-color-rebeccapurple', '4.0.1')
('rubygems:hashdiff', '1.1.0')
('rubygems:http', '5.2.0')
('npm:xml-name-validator', '4.0.0')
('npm:puppeteer', '22.13.0')
('npm:cssom', '0.5.0')
('npm:p-limit', '3.1.0')
('npm:@babel/plugin-syntax-typescript', '7.23.3')
('npm:is-generator-function', '1.0.10')
('rubygems:ruby-jmeter', '3.1.08')
('npm:@babel/plugin-transform-async-to-generator', '7.23.3')
('npm:@babel/helper-function-name', '7.23.0')
('npm:npm-run-path', '5.3.0')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('rubygems:representable', '3.2.0')
('npm:resolve-from', '5.0.0')
('npm:pbkdf2', '3.1.2')
('rubygems:rails', '7.1.3.4')
('npm:ms', '2.0.0')
('npm:@types/node', '20.11.20')
('npm:dfe-autocomplete', '0.0.1')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('actions:DFE-Digital/github-actions/build-docker-image', 'master')
('npm:get-stream', '6.0.1')
('npm:jest-worker', '29.7.0')
('rubygems:holidays', '8.8.0')
('rubygems:faraday-gzip', '2.0.1')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:builtins', '5.0.1')
('npm:mime-types', '2.1.35')
('npm:collect-v8-coverage', '1.0.2')
('npm:memory-fs', '0.4.1')
('npm:postcss-unique-selectors', '4.0.1')
('npm:sprintf-js', '1.0.3')
('npm:pure-rand', '6.0.4')
('npm:nth-check', '1.0.2')
('npm:w3c-xmlserializer', '4.0.0')
('npm:jest-resolve', '29.7.0')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('rubygems:erb_lint', '0.5.0')
('npm:walker', '1.0.8')
('rubygems:rainbow', '3.1.1')
('npm:@tootallnate/once', '2.0.0')
('npm:@babel/plugin-transform-regenerator', '7.23.3')
('npm:stylelint-config-standard-scss', '13.0.0')
('npm:core-js-compat', '3.36.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:ci-info', '3.9.0')
('npm:string.prototype.trimstart', '1.0.7')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('rubygems:dotenv', '3.0.2')
('npm:normalize-path', '2.1.1')
('npm:dedent', '1.5.1')
('rubygems:rubocop-rake', '0.6.0')
('npm:@babel/plugin-transform-nullish-coalescing-operator', '7.23.4')
('rubygems:net-pop', '0.1.2')
('npm:domelementtype', '2.3.0')
('npm:eslint-visitor-keys', '3.4.3')
('npm:array-includes', '3.1.7')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:run-queue', '1.0.3')
('npm:async-each', '1.0.6')
('npm:hmac-drbg', '1.0.1')
('rubygems:i18n', '1.14.5')
('npm:homedir-polyfill', '1.0.3')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jquery', '3.7.1')
('npm:lodash.get', '4.4.2')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:html-tags', '3.3.1')
('rubygems:rack-test', '2.1.0')
('rubygems:rspec_junit_formatter', '0.6.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('rubygems:kaminari-core', '1.2.2')
('npm:import-local', '2.0.0')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('rubygems:httparty', '0.22.0')
('rubygems:stoplight', '3.0.2')
('npm:shebang-command', '2.0.0')
('rubygems:rack-attack', '6.7.0')
('rubygems:faraday-excon', '1.1.0')
('npm:string.prototype.trimend', '1.0.7')
('npm:optimize-css-assets-webpack-plugin', '5.0.8')
('npm:@humanwhocodes/object-schema', '2.0.2')
('npm:chokidar', '2.1.8')
('rubygems:bcrypt', '3.1.20')
('npm:signal-exit', '4.1.0')
('npm:side-channel', '1.0.5')
('npm:aggregate-error', '3.1.0')
('rubygems:net-protocol', '0.2.2')
('npm:babel-jest', '29.7.0')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:serialize-javascript', '5.0.1')
('actions:hashicorp/setup-terraform', '3.*.*')
('npm:fill-range', '7.1.1')
('rubygems:db-query-matchers', '0.12.0')
('npm:query-string', '4.3.4')
('npm:file-entry-cache', '9.0.0')
('npm:string-width', '4.2.3')
('npm:p-locate', '3.0.0')
('npm:is-stream', '3.0.0')
('npm:pkg-dir', '3.0.0')
('npm:@babel/generator', '7.23.6')
('npm:fd-slicer', '1.1.0')
('npm:array.prototype.tosorted', '1.1.3')
('npm:url-parse', '1.5.10')
('rubygems:ast', '2.4.2')
('npm:pumpify', '1.5.1')
('npm:cssnano-util-get-match', '4.0.0')
('rubygems:omniauth', '2.1.2')
('npm:postcss-double-position-gradients', '1.0.0')
('npm:diff-sequences', '29.6.3')
('npm:css-what', '3.4.2')
('rubygems:yabeda', '0.12.0')
('npm:get-package-type', '0.1.0')
('npm:infer-owner', '1.0.4')
('npm:postcss-color-mod-function', '3.0.3')
('npm:postcss-selector-parser', '6.1.0')
('npm:execa', '5.1.1')
('npm:stylelint-config-recommended', '14.0.0')
('npm:jest-matcher-utils', '29.7.0')
('npm:type-check', '0.4.0')
('npm:eslint-plugin-react', '7.33.2')
('npm:find-up', '3.0.0')
('npm:postcss-calc', '7.0.5')
('npm:string_decoder', '1.1.1')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:postcss-env-function', '2.0.2')
('npm:is-number', '3.0.0')
('npm:@ministryofjustice/frontend', '2.1.3')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:indent-string', '4.0.0')
('npm:ansi-styles', '3.2.1')
('npm:sass-loader', '10.1.1')
('npm:@csstools/convert-colors', '1.4.0')
('npm:postcss-logical', '3.0.0')
('npm:@babel/helper-create-class-features-plugin', '7.23.10')
('rubygems:netrc', '0.11.0')
('rubygems:guard-compat', '1.2.1')
('npm:define-properties', '1.2.1')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:set-value', '2.0.1')
('rubygems:thor', '1.3.1')
('rubygems:rubocop-rspec', '3.0.3')
('rubygems:simplecov', '0.22.0')
('npm:esrecurse', '4.3.0')
('npm:eslint-scope', '7.2.2')
('npm:punycode', '2.3.1')
('npm:chalk', '4.1.2')
('npm:@eslint-community/eslint-utils', '4.4.0')
('npm:standard', '17.1.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:@types/yargs', '17.0.32')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:ws', '8.17.1')
('npm:terser-webpack-plugin', '4.2.3')
('npm:source-map-resolve', '0.5.3')
('npm:postcss-modules-scope', '2.2.0')
('npm:jest-environment-jsdom', '29.7.0')
('npm:@babel/plugin-transform-new-target', '7.23.3')
('npm:@eslint-community/regexpp', '4.10.0')
('npm:lint-staged', '15.2.7')
('npm:@babel/plugin-transform-typeof-symbol', '7.23.3')
('npm:array.prototype.findlastindex', '1.2.4')
('npm:use', '3.1.1')
('npm:stylelint-config-gds', '2.0.0')
('npm:postcss-normalize-charset', '4.0.1')
('rubygems:excon', '0.109.0')
('npm:jest', '29.7.0')
('rubygems:ruby-next-core', '1.0.2')
('rubygems:activesupport', '7.1.3.4')
('npm:postcss-minify-gradients', '4.0.2')
('npm:postcss-initial', '3.0.4')
('npm:fastq', '1.17.1')
('npm:@babel/helper-annotate-as-pure', '7.22.5')
('npm:jest-environment-node', '29.7.0')
('npm:errno', '0.1.8')
('npm:which-collection', '1.0.1')
('npm:source-map', '0.5.7')
('npm:@babel/helper-validator-identifier', '7.22.20')
('rubygems:faraday', '1.10.3')
('npm:es-set-tostringtag', '2.0.3')
('npm:eslint-import-resolver-node', '0.3.9')
('npm:whatwg-mimetype', '3.0.0')
('rubygems:base64', '0.2.0')
('rubygems:faraday-em_synchrony', '1.0.0')
('rubygems:llhttp-ffi', '0.5.0')
('npm:jest-runtime', '29.7.0')
('rubygems:websocket', '1.2.10')
('rubygems:connection_pool', '2.4.1')
('npm:minizlib', '2.1.2')
('npm:@babel/helper-string-parser', '7.23.4')
('npm:css-tree', '1.0.0-alpha.37')
('rubygems:mail', '2.8.1')
('npm:readdirp', '3.6.0')
('npm:babel-plugin-macros', '2.8.0')
('npm:colorette', '2.0.20')
('npm:js-yaml', '4.1.0')
('rubygems:json-jwt', '1.15.3.1')
('npm:cssesc', '2.0.0')
('npm:@types/json-schema', '7.0.15')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('rubygems:humanize', '3.1.0')
('npm:@npmcli/fs', '1.1.1')
('npm:flatted', '3.3.1')
('npm:minimalistic-assert', '1.0.1')
('npm:unicode-match-property-ecmascript', '2.0.0')
('npm:@babel/plugin-transform-numeric-separator', '7.23.4')
('actions:docker/login-action', '3.*.*')
('rubygems:yabeda-puma-plugin', '0.7.1')
('npm:eslint-plugin-es', '4.1.0')
('npm:array-union', '2.1.0')
('actions:DFE-Digital/github-actions/CheckServicePrincipal', 'master')
('npm:builtin-status-codes', '3.0.0')
('npm:eslint-module-utils', '2.8.1')
('rubygems:faraday-encoding', '0.0.5')
